Word/Phrase,Definition,gen_z,Popularity/Trend Level,normal
Wavy,Cool or trendy.,"""That outfit is wavy.""",Medium,That outfit is exceptional
Whip,Car.,"""Check out my new whip.""",High,Take a look at my new car
Wildin,Acting wild or out of control.,"""He was wildin' at the party.""",Medium,He was behaving erratically at the party.
Wylin,Acting wild or out of control.,"""She's wylin out here.""",Medium,She is acting wildly or unusually in this situation
Zooted,Under the influence.,"""He's zooted right now.""",Medium,He is currently intoxicated.
Zoomies,"Sudden burst of energy, often used to describe pets.","""My dog has the zoomies.""",Medium,My dog is experiencing a period of frantic activity.
Vibe Check,Evaluating someone's mood or the atmosphere.,"""Let's do a vibe check.""",High,Let us assess the atmosphere
Spill the Tea,To share gossip or the latest news.,"""Come on, spill the tea.""",High,Tell me the details
Big Yikes,Something extremely embarrassing or cringeworthy.,"""That was a big yikes moment.""",High,That was an embarrassing or awkward moment.
Boujee,Luxurious or fancy.,"""Living the boujee life.""",High,I am living a luxurious lifestyle.
Bodega,"A small grocery store, typically in an urban area.","""I'm heading to the bodega.""",Medium,I am going to the convenience store.
Gassed Up,Feeling excited or confident.,"""I'm so gassed up for the concert.""",Medium,I am extremely excited for the concert
Swerve,To avoid or dodge something.,"""She had to swerve that awkward conversation.""",Medium,She had to avoid that awkward conversation.
Tight,Angry or frustrated.,"""Why are you so tight today?""",Medium,Why are you so irritable today?
Drip,Stylish or fashionable.,"""Check out my drip.""",High,Observe my fashionable attire.
Facts,Used to agree with something true.,"""That's facts.""",High,That is correct
Fire,Really good or excellent.,"""That song is fire.""",High,That song is excellent
Hypebeast,"Someone obsessed with fashion, especially streetwear.","""He's such a hypebeast.""",High,"He is someone who excessively pursues fashionable or trendy items, often for social recognition."
Keep it 100,To be honest and truthful.,"""I'm just keeping it 100 with you.""",High,I am being completely honest with you.
Lit,"Exciting, fun, or excellent.","""That party was lit.""",High,That party was excellent
No Cap,No lie; truth.,"""That's the best movie, no cap.""",High,That is truly the best movie.
Plug,Someone who can supply something needed.,"""He's the plug for all the best snacks.""",Medium,He is the reliable source for the best snacks.
Salty,Bitter or upset.,"""Why are you so salty?""",Medium,Why are you so upset
Slay,To do something exceptionally well.,"""You slayed that presentation.""",High,You performed exceptionally well during that presentation.
Sneak Diss,A subtle or indirect insult.,"""Was that a sneak diss?""",Medium,Was that an indirect insult?
Stay Woke,"Stay aware, especially of social issues.","""Stay woke about what's happening.""",High,Remain aware of current events.
Thicc,Describing someone with a curvy figure.,"""She's so thicc.""",High,She possesses a curvaceous physique.
Vibe,The mood or atmosphere.,"""I love the vibe here.""",High,I enjoy the atmosphere of this place.
Wild,Crazy or out of control.,"""That party was wild.""",High,That party was excellent.
Woke,Being aware of social issues.,"""Stay woke, everyone.""",High,"Remain aware and informed, everyone."
Yeet,To throw something with force; also used for excitement.,"""He yeeted the ball.""",High,He threw the ball with great force.
Zoomer,A member of Generation Z.,"""She's such a Zoomer.""",Medium,She is a member of Generation Z.
Bet,Used to confirm something or agree.,"""Bet, I'll be there.""",High,"Certainly, I will be present."
Big Mood,A strong feeling or sentiment that others relate to.,"""That nap was a big mood.""",Medium,That nap perfectly encapsulated my current emotional state.
Bounce,To leave or exit quickly.,"""I'm gonna bounce now.""",Medium,I am going to leave now.
Clap Back,"A quick, sharp, and witty retort.","""That clap back was on point.""",High,That retort was excellent
Dope,Cool or awesome.,"""That outfit is dope.""",High,That attire is excellent.
Extra,"Over the top, excessive.","""She's so extra with her drama.""",Medium,She is being overly dramatic.
Finna,"Fixing to, about to.","""I'm finna go now.""",Medium,I am going to leave now
FOMO,Fear of Missing Out; anxiety about missing something.,"""I have FOMO from missing that party.""",High,I have a fear of missing out because I was unable to attend that party.
Gucci,Good or cool.,"""Everything's Gucci.""",Medium,Everything is good.
High-Key,Emphatically or openly.,"""I'm high-key excited for this.""",Medium,I am very excited for this.
Low-Key,Subtly or secretly.,"""I'm low-key worried about the test.""",High,I am somewhat concerned about the examination.
Shook,Shocked or surprised.,"""I was shook when I heard the news.""",High,I was surprised when I heard the news.
Simp,Someone who does too much for someone they like.,"""He's such a simp for her.""",High,He is extremely infatuated with her.
Slaps,Really good or excellent.,"""This beat slaps.""",High,This musical track is excellent
Vibes,Good energy or atmosphere.,"""I love the vibes here.""",High,I find the atmosphere here very enjoyable.
Woke,Being aware of social issues.,"""We need to stay woke.""",High,We need to remain aware of current social and political issues.
Yolo,You Only Live Once; a call to take risks.,"""I'm gonna do it, YOLO!""",High,I am going to do it; you only live once
Bop,A song that's really good.,"""That new track is a bop.""",Medium,That new song is excellent
Boujee,Luxurious or fancy.,"""She's so boujee with her style.""",High,She has a very luxurious and upscale personal style
Bruh,"A casual term for ""bro"" or ""dude.""","""Come on, bruh, let's go.""",High,"Please, let us proceed."
Chill,Relaxed or easy-going.,"""I'm just chilling today.""",High,I am simply relaxing today.
Clap Back,"A sharp, witty retort.","""That clap back was savage.""",High,That retort was outstanding
Dank,"High-quality, especially used for memes.","""That meme is dank.""",High,That internet joke is excellent.
Deadass,Seriously; genuinely.,"""I'm deadass serious.""",High,I am truly serious.
Drip,"Stylish or fashionable, especially in clothing.","""Check out my drip today.""",High,Look at my outfit today.
Fire,Really good or excellent.,"""This pizza is fire.""",High,This pizza is excellent.
Flex,To show off or boast.,"""He's always flexing his new car.""",High,He is always showing off his new car.
Goat,Greatest Of All Time.,"""Messi is the goat of football.""",High,Messi is the greatest of all time in football.
Glow Up,A significant improvement in appearance or style.,"""She had a major glow-up over the summer.""",Medium,She experienced a significant positive transformation in appearance over the summer.
Gucci,Good or cool.,"""Everything's Gucci.""",Medium,Everything is excellent.
High-Key,Emphatically or openly.,"""I'm high-key loving this weather.""",Medium,I am secretly very fond of this pleasant weather.
Hits Different,Something that resonates on a deep level.,"""That song hits different.""",High,That song evokes a strong emotional reaction.
Hype,Intense excitement.,"""The hype is real for this movie.""",High,The enthusiasm is genuine for this movie.
JOMO,Joy Of Missing Out.,"""I prefer JOMO to FOMO any day.""",Medium,I prefer the joy of missing out to the fear of missing out at all times.
Karen,Entitled or demanding woman.,"""She's such a Karen.""",High,She is a woman who is perceived as entitled or demanding.
L,Loss or failure.,"""We took the L on that one.""",High,We experienced a loss in that situation.
Living Rent-Free,Taking up a lot of mental space.,"""That comment is living rent-free in my mind.""",High,That comment is constantly on my mind
Main Character,Acting like the main character in life.,"""She's totally giving main character vibes.""",Medium,She appears to possess the characteristics of a protagonist.
Normalize,Make something the norm.,"""We need to normalize mental health talks.""",High,We must standardize discussions about mental well-being.
Oof,An expression of sympathy.,"""Oof, that's tough.""",High,That situation is difficult
Receipts,Proof or evidence.,"""Where are the receipts for your claim?""",High,Where is the evidence to support your statement?
Salty,Bitter or upset.,"""Why are you so salty today?""",Medium,Why are you so irritable today?
Shade,Subtle insult.,"""She threw some serious shade at the party.""",High,She openly expressed strong disapproval or disrespect towards someone at the party.
Simp,Someone who does too much for someone they like.,"""Stop simping over her.""",High,Cease trying so hard to impress her.
Slaps,Really good or excellent.,"""This beat slaps hard.""",High,This musical track is excellent.
Vibes,Good energy or atmosphere.,"""I love the vibes here.""",High,I enjoy the atmosphere of this location.
Woke,Being aware of social issues.,"""Stay woke.""",High,Remain aware of important social and racial issues
Yolo,You Only Live Once; a call to take risks.,"""I'm gonna do it, YOLO!""",High,I am going to do it; you only live once.
Zoomer,A member of Generation Z.,"""As a Zoomer, she's all about TikTok.""",Medium,"As a member of Generation Z, she is deeply engaged with TikTok."
Cancelled,Publicly denounced and rejected.,"""She's cancelled after that scandal.""",High,Her reputation has been ruined following that scandal.
Cap,A lie or something untrue.,"""That's cap, you didn't do that.""",High,"That is a lie, you did not do that"
Dead,Used to describe something very funny.,"""I'm dead, that was hilarious.""",High,That was extremely funny.
Extra,"Over the top, excessive.","""She's so extra with her drama.""",Medium,She is being overly dramatic with her behavior.
Finna,"Fixing to, about to.","""I'm finna go now.""",Medium,I am going to leave now.
Finesse,To handle something skillfully.,"""He finessed his way in.""",Medium,He skillfully manipulated the situation to gain entry.
Flex,To show off or boast.,"""He's flexing his new watch.""",High,He is boasting about his new watch.
Goat,Greatest Of All Time.,"""Tom Brady is the GOAT.""",High,Tom Brady is the greatest of all time.
Gucci,Good or cool.,"""Everything's Gucci here.""",Medium,Everything is good here.
Hype,Intense excitement.,"""The hype is real.""",High,The level of excitement is justified.
JOMO,Joy Of Missing Out.,"""I prefer JOMO to FOMO.""",Medium,I prefer the joy of missing out to the fear of missing out.
L,Loss or failure.,"""We took an L today.""",High,We experienced a loss today.
Lit,"Exciting, fun, or excellent.","""This party is lit.""",High,This party is excellent.
Low-Key,Subtly or secretly.,"""I'm low-key enjoying this.""",High,I am secretly enjoying this.
Mood,An expression of a relatable feeling or vibe.,"""That's such a mood.""",High,That deeply resonates with me
Salty,Bitter or upset.,"""Why are you so salty?""",Medium,Why are you so upset?
Savage,"Acting fierce, confident, and unfiltered.","""Her clap back was savage.""",High,Her witty retort was impressive.
Shook,Shocked or surprised.,"""I was shook by the news.""",High,I was astonished by the news.
Slay,To do something exceptionally well.,"""She slayed that outfit.""",High,She wore that outfit exceptionally well
Stan,An enthusiastic or obsessive fan.,"""I'm a stan for that band.""",High,I am a dedicated fan of that band.
Sus,Suspicious or questionable.,"""That seems sus.""",High,That seems suspicious
Tea,Gossip or the latest news.,"""Spill the tea, what happened?""",High,Please tell me the details of what occurred.
Thicc,Describing someone with a curvy figure.,"""She's so thicc.""",High,She has a curvaceous figure.
Woke,Being aware of social issues.,"""We need to stay woke.""",High,We need to remain aware
Yeet,To throw something with force; also used for excitement.,"""He yeeted the ball.""",High,He threw the ball with great force
Zoomer,A member of Generation Z.,"""As a Zoomer, she's into TikTok.""",Medium,"As a member of Generation Z, she is interested in the social media application TikTok"
Big Yikes,Something extremely embarrassing or cringeworthy.,"""That was a big yikes moment.""",High,That was an embarrassing situation.
Bop,A song that's really good.,"""That new track is a bop.""",Medium,That new song is excellent
Bounce,To leave or exit.,"""I'm bouncing, see you later.""",Medium,"I am leaving, goodbye."
Cancelled,Publicly denounced and rejected.,"""She's cancelled after that scandal.""",High,Her reputation was ruined following that scandal.
Chill,Relaxed or easy-going.,"""I'm just chilling today.""",High,I am simply relaxing today.
Clout,Influence or power.,"""He's just doing it for the clout.""",High,He is only doing it for the sake of reputation or influence.
Deadass,Seriously; genuinely.,"""I'm deadass not joking.""",High,I am truly being serious.
Drip,"Stylish or fashionable, especially in clothing.","""Check out my drip today.""",High,Look at my outfit today.
Extra,"Over the top, excessive.","""She's so extra with her outfits.""",Medium,She is being excessively dramatic with her clothing choices.
Finesse,To handle something skillfully.,"""He finessed his way into the club.""",Medium,He skillfully manipulated the situation to gain entry to the club.
Ghosting,Suddenly cutting off all communication with someone.,"""He ghosted me after our date.""",High,He abruptly ended communication with me following our date.
Hits Different,Something that resonates on a deep level.,"""That song hits different.""",High,That song evokes a unique and powerful emotional response.
JOMO,Joy Of Missing Out.,"""I'm all about JOMO these days.""",Medium,I am currently prioritizing the Joy of Missing Out
Living Rent-Free,Taking up a lot of mental space.,"""She's living rent-free in my mind.""",High,She occupies my thoughts without effort or expense.
Main Character,Acting like the main character in life.,"""She's totally giving main character vibes.""",Medium,She completely embodies the characteristics of a protagonist.
Normalize,Make something the norm.,"""We need to normalize self-care.""",High,We need to make self-care a more common practice.
Oof,An expression of sympathy.,"""Oof, that must have hurt.""",High,That must have been painful
Pressed,Angry or annoyed.,"""He's so pressed about the situation.""",Medium,He is very concerned about the situation.
Resonate,Something that deeply connects or makes sense.,"""That quote really resonates with me.""",Medium,That quotation truly connects with my feelings.
Shooketh,Extremely shocked.,"""I am shooketh by that twist.""",Medium,I am astonished by that unexpected turn of events.
Swerve,To avoid or move away from something.,"""I had to swerve to avoid the drama.""",Medium,I needed to actively avoid the conflict
Tight,Angry or frustrated.,"""He's tight about what happened.""",Medium,He is reserved about what occurred.
Unbothered,Not caring; unaffected.,"""She's completely unbothered by the hate.""",High,She is completely unaffected by the criticism.
Wavy,Cool or trendy.,"""That outfit is wavy.""",Medium,That outfit is stylish.
Whip,Car.,"""Check out my new whip.""",High,Look at my new car.
Wildin,Acting wild or out of control.,"""He was wildin' at the party.""",Medium,He was behaving erratically at the party.
Wylin,Acting wild or out of control.,"""She's wylin out here.""",Medium,She is acting wildly in this location.
Zooted,Under the influence.,"""He's zooted right now.""",Medium,He is currently intoxicated.
Zoomies,"Sudden burst of energy, often used to describe pets.","""My dog has the zoomies.""",Medium,My dog has an intense period of frantic activity.
Vibe Check,Evaluating someone's mood or the atmosphere.,"""Let's do a vibe check.""",High,Let us assess the atmosphere or emotional state.
Spill the Tea,To share gossip or the latest news.,"""Come on, spill the tea.""",High,Please tell me the gossip
Big Yikes,Something extremely embarrassing or cringeworthy.,"""That was a big yikes moment.""",High,That was a profoundly embarrassing or regrettable incident.
Boujee,Luxurious or fancy.,"""Living the boujee life.""",High,Experiencing an opulent lifestyle
Bodega,"A small grocery store, typically in an urban area.","""I'm heading to the bodega.""",Medium,I am going to the small grocery store.
Gassed Up,Feeling excited or confident.,"""I'm so gassed up for the concert.""",Medium,I am extremely excited about the concert.
Swerve,To avoid or dodge something.,"""She had to swerve that awkward conversation.""",Medium,She had to avoid that awkward conversation.
Tight,Angry or frustrated.,"""Why are you so tight today?""",Medium,Why are you so upset today?
Drip,Stylish or fashionable.,"""Check out my drip.""",High,Look at my outfit.
Facts,Used to agree with something true.,"""That's facts.""",High,That is true.
Fire,Really good or excellent.,"""That song is fire.""",High,That song is excellent.
Hypebeast,"Someone obsessed with fashion, especially streetwear.","""He's such a hypebeast.""",High,"He is someone excessively concerned with acquiring trendy, expensive clothing and accessories."
Keep it 100,To be honest and truthful.,"""I'm just keeping it 100 with you.""",High,I am being completely honest with you
Lit,"Exciting, fun, or excellent.","""That party was lit.""",High,That party was excellent
No Cap,No lie; truth.,"""That's the best movie, no cap.""",High,That is truly the best movie
Plug,Someone who can supply something needed.,"""He's the plug for all the best snacks.""",Medium,He is the reliable source for all the best snacks.
Salty,Bitter or upset.,"""Why are you so salty?""",Medium,Why are you so bitter or upset
Slay,To do something exceptionally well.,"""You slayed that presentation.""",High,You performed exceptionally well during that presentation.
Sneak Diss,A subtle or indirect insult.,"""Was that a sneak diss?""",Medium,Was that an insult made in a subtle manner
Stay Woke,"Stay aware, especially of social issues.","""Stay woke about what's happening.""",High,Remain aware of current events.
Thicc,Describing someone with a curvy figure.,"""She's so thicc.""",,She has a curvaceous figure.
